id,opeid,year,loan_default_rate
279,3002,2011,36
280,22697,2011,29.4
281,5424,2011,22
282,25731,2011,17.7
283,1533,2011,23.8
284,22023,2011,24.2
285,4467,2011,34.7
286,1862,2011,23.2
287,3176,2011,26.3
288,4855,2011,25.2
289,5204,2011,22.4
290,8558,2011,6.1
291,8466,2011,18.5
292,36833,2011,32.5
293,2205,2011,35.2
294,41523,2011,34.4
295,4057,2011,21.4
296,22838,2011,30.8
297,10182,2011,24.6
298,1307,2011,38.4
299,25587,2011,32.9
300,12261,2011,24.5
301,1176,2011,23
302,38563,2011,13.8
303,5594,2011,24.2
304,6775,2011,25.4
305,4119,2011,21
306,37873,2011,27.8
307,37013,2011,44.7
308,2267,2011,26.4
309,23058,2011,19.2
310,9542,2011,30.8
311,7283,2011,22.6
312,9054,2011,33.7
313,23154,2011,22
314,35373,2011,23.2
315,9043,2011,20.8
316,8557,2011,0
317,41691,2011,33.3
318,3116,2011,21
319,10851,2011,13.7
320,316,2011,24.8
321,3782,2011,24.7
322,303,2011,0
323,25454,2011,28
324,3568,2011,29.8
325,1623,2011,22.5
326,8403,2011,29.7
327,3572,2011,21.8
328,1994,2011,17.7
329,7684,2011,20.7
330,22305,2011,24.7
331,1478,2011,25.8
332,9022,2011,31.5
333,31033,2011,14.5
334,41312,2011,33.3
335,399,2011,22.3
336,532,2011,23.6
337,12891,2011,22.8
338,10503,2011,14.4
339,3155,2011,25.4
340,1187,2011,29.4
341,38123,2011,24.9
342,41476,2011,25
343,3083,2011,22.3
344,20554,2011,24.7
345,3828,2011,30.5
346,25681,2011,24.1
347,6799,2011,19.8
348,22579,2011,21.8
349,2655,2011,29.8
350,13132,2011,32.6
351,20997,2011,18.7
352,1087,2011,25.9
353,1185,2011,24.7
354,22977,2011,23.3
355,165,2011,18.5
356,30118,2011,24
357,3121,2011,18.9
358,20746,2011,21.9
359,21211,2011,27.1
360,39163,2011,42.8
361,25799,2011,34.4
362,12811,2011,15.1
363,9917,2011,23.2
364,5753,2011,32.2
365,8073,2011,26
366,11647,2011,21.4
367,3577,2011,28
368,34095,2011,21.6
369,41493,2011,46.1
370,1182,2011,23
371,22586,2011,14.1
372,5316,2011,0
373,9873,2011,15.6
374,41779,2011,0
375,21775,2011,24.9
376,5244,2011,24
377,25919,2011,27.7
378,40414,2011,22.4
379,4009,2011,22.9
380,1908,2011,9.6
381,23566,2011,18.8
382,30791,2011,25
383,21785,2011,27.9
384,20522,2011,29.1
385,3115,2011,22
386,9336,2011,22.1
387,7436,2011,24.5
388,5318,2011,19.6
389,9077,2011,13.8
390,1355,2011,23.4
391,9828,2011,21.4
392,3648,2011,20.6
393,23328,2011,22.2
394,9079,2011,21.7
395,22506,2011,21.5
396,1592,2011,22.2
397,13005,2011,22.6
398,2867,2011,17.6
399,2968,2011,36.6
400,1079,2011,19.3
401,22515,2011,31.1
402,119,2011,20.4
403,1267,2011,24.1
404,40363,2011,20.9
405,24978,2011,13.8
406,31037,2011,23.8
407,41386,2011,19
408,33294,2011,21.4
409,41887,2011,0
410,3218,2011,21.9
411,23001,2011,17.6
412,1007,2011,26.3
