UNITID,cohort_status8,cohort_status13,cohort_status15,cohort_status29,cohort_status30,under_certi_award_level1,under_degree_award_level3,grad_degree_award_level7,grad_certi_award_level6,total_studentcount_1,undrgradstudentcount_2,gradstudentcount_4,inst_activity_type,inst_act_ugcredit_hrs,inst_act_gradcredit_hrs,ug_student_perthousandstudent,ug_average_sch_studentperay,grad_average_sch_studentperay,ug_degrees_perthousand_ugstudent,ug_certi_perthousand_ugstudent,graddegree_perthousandgradstudent,grad_certi_perthousand_gradstudent,bachelordegree_4yeargradrate,bachelordegree_6yeargradrate,associatedegree_certi3yeargradrate
236072,0,0,0,0,0,802,1264,0,0,10349,10349,0,2,194818,,1000,19,NULL,122.1374046,77.49541018,NULL,NULL,NULL,NULL,NULL
236133,192,79,1,0,0,4,26,234,0,1962,1622,340,2,38710,6219,827,24,18.29117647,16.02959309,2.466091245,688.2352941,0,0.411458333,0.005208333,NULL
236188,0,0,0,0,0,2326,2558,0,0,11066,11066,0,2,269074,,1000,25,NULL,231.1585035,210.1933851,NULL,NULL,NULL,NULL,NULL
236230,712,372,15,0,0,4,0,262,0,3830,3294,536,2,95851,8157,861,30,15.21828358,0,1.214329083,488.8059701,0,0.52247191,0.021067416,NULL
236258,0,0,0,0,0,1714,716,0,0,3697,3697,0,2,91753,,1000,25,NULL,193.6705437,463.6191507,NULL,NULL,NULL,NULL,NULL
236328,676,459,9,0,0,0,0,154,0,2929,2617,312,2,72851,3772,894,28,12.08974359,0,0,493.5897436,0,0.678994083,0.013313609,NULL
236382,0,0,0,150,94,518,560,0,0,6142,6142,0,2,115534,,1000,19,NULL,91.17551286,84.3373494,NULL,NULL,NULL,NULL,0.626666667
236452,197,62,5,0,0,0,0,230,0,1962,1492,470,2,40639,6187,761,28,13.16382979,0,0,489.3617021,0,0.314720812,0.025380711,NULL
236504,0,0,0,0,0,1724,920,0,0,8694,8694,0,2,184126,,1000,22,NULL,105.8201058,198.2976766,NULL,NULL,NULL,NULL,NULL
236513,0,0,0,0,0,28,2040,0,0,11661,11661,0,2,268617,,1000,24,NULL,174.9421147,2.401166281,NULL,NULL,NULL,NULL,NULL
236577,712,431,17,0,0,0,0,544,0,4744,3617,1127,2,151297,24227,763,42,21.49689441,0,0,482.6974268,0,0.605337079,0.023876404,NULL
236595,881,530,10,0,0,0,0,1478,52,8391,5095,3296,2,201140,48219,608,40,14.62955097,0,0,448.4223301,15.77669903,0.601589103,0.011350738,NULL
236610,0,0,0,257,77,1400,1666,0,0,9076,9076,0,2,219709,,1000,25,NULL,183.5610401,154.2529749,NULL,NULL,NULL,NULL,0.299610895
236638,0,0,0,0,0,456,1404,0,0,7560,7560,0,2,170388,,1000,23,NULL,185.7142857,60.31746032,NULL,NULL,NULL,NULL,NULL
236656,0,0,0,362,99,552,2016,0,0,7214,7214,0,2,179234,,1000,25,NULL,279.4566121,76.5178819,NULL,NULL,NULL,NULL,0.273480663
236692,0,0,0,646,165,580,2256,0,0,10073,10073,0,2,277467,,1000,28,NULL,223.9650551,57.57966842,NULL,NULL,NULL,NULL,0.255417957
236708,0,0,0,830,183,330,1982,0,0,14328,14328,0,2,270360,,1000,19,NULL,138.3305416,23.0318258,NULL,NULL,NULL,NULL,0.220481928
236753,0,0,0,418,106,1268,2390,0,0,11416,11416,0,2,296540,,1000,26,NULL,209.3552908,111.0721794,NULL,NULL,NULL,NULL,0.253588517
236887,0,0,0,324,106,1488,1578,0,0,8254,8254,0,2,195398,,1000,24,NULL,191.1800339,180.2762297,NULL,NULL,NULL,NULL,0.327160494
