UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200
159319,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,18,R,0,R,18,R,2,R,11,R,13,R,72,Z,0,R,18,Z,0,Z,0,R,13,R,72
159328,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,58,R,0,R,58,R,13,R,22,R,38,R,66,Z,0,R,58,Z,0,Z,0,R,38,R,66
159382,R,111,R,0,R,111,R,3,R,3,R,15,R,14,R,0,R,111,R,5,R,3,R,20,R,18,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
159391,R,4503,R,0,R,4503,R,1530,R,34,R,2925,R,65,R,0,R,4503,R,106,R,48,R,3031,R,67,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
159407,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,678,R,1,R,677,R,34,R,5,R,68,R,10,R,0,R,677,R,39,R,31,R,107,R,16
159416,R,383,R,0,R,383,R,35,R,9,R,103,R,27,R,0,R,383,R,22,R,14,R,125,R,33,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
159513,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,89,R,2,R,87,R,11,R,13,R,69,R,79,Z,0,R,87,Z,0,Z,0,R,69,R,79
159522,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,67,R,1,R,66,R,27,R,41,R,47,R,71,Z,0,R,66,Z,0,Z,0,R,47,R,71
159531,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,36,R,0,R,36,R,5,R,14,R,22,R,61,Z,0,R,36,Z,0,Z,0,R,22,R,61
159568,R,263,R,0,R,263,R,56,R,21,R,102,R,39,R,0,R,263,R,1,R,0,R,103,R,39,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
159601,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,7,R,0,R,7,R,0,R,0,R,7,R,100,Z,0,R,7,Z,0,Z,0,R,7,R,100
159647,R,1572,R,0,R,1572,R,426,R,27,R,746,R,47,R,0,R,1572,R,34,R,26,R,780,R,50,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
159656,R,516,R,0,R,516,R,245,R,47,R,304,R,59,R,0,R,516,R,10,R,2,R,314,R,61,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
159717,R,1242,R,2,R,1240,R,195,R,16,R,469,R,38,R,0,R,1240,R,64,R,45,R,533,R,43,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
159939,R,951,R,0,R,951,R,98,R,10,R,328,R,34,R,0,R,951,R,45,R,28,R,373,R,39,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
159948,R,21,R,0,R,21,R,1,R,5,R,3,R,14,R,0,R,21,R,0,R,0,R,3,R,14,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
159966,R,961,R,4,R,957,R,170,R,18,R,377,R,39,R,1,R,956,R,46,R,26,R,423,R,44,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
159993,R,1421,R,2,R,1419,R,186,R,13,R,518,R,37,R,0,R,1419,R,52,R,17,R,570,R,40,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
160010,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,341,R,0,R,341,R,151,R,44,R,164,R,48,Z,0,R,341,R,14,R,0,R,178,R,52
160038,R,1183,R,2,R,1181,R,214,R,18,R,429,R,36,R,0,R,1181,R,32,R,21,R,461,R,39,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
160065,R,108,R,0,R,108,R,8,R,7,R,26,R,24,R,0,R,108,R,3,R,3,R,29,R,27,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
160074,R,4,R,0,R,4,R,1,R,25,R,1,R,25,Z,0,R,4,Z,0,Z,0,R,1,R,25,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
160117,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,47,R,0,R,47,R,19,R,40,R,43,R,91,R,0,R,47,R,1,R,0,R,44,R,94
160126,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,13,R,0,R,13,R,3,R,23,R,8,R,62,R,0,R,13,R,0,R,0,R,8,R,62
160135,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,33,R,0,R,33,R,9,R,27,R,19,R,58,R,0,R,33,R,0,R,0,R,19,R,58
160199,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,39,R,0,R,39,R,10,R,26,R,23,R,59,R,0,R,39,R,0,R,0,R,23,R,59
160320,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,634,R,16,R,618,R,119,R,19,R,435,R,70,Z,0,R,618,Z,0,Z,0,R,435,R,70
160409,R,15,R,0,R,15,R,6,R,40,R,9,R,60,Z,0,R,15,Z,0,Z,0,R,9,R,60,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
160445,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,61,R,0,R,61,R,16,R,26,R,45,R,74,Z,0,R,61,Z,0,Z,0,R,45,R,74
160472,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,51,R,0,R,51,R,14,R,27,R,34,R,67,R,0,R,51,R,2,R,0,R,36,R,71
160481,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,301,R,0,R,301,R,21,R,7,R,45,R,15,R,0,R,301,R,21,R,28,R,66,R,22
160524,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,400,R,1,R,399,R,183,R,46,R,230,R,58,Z,0,R,399,Z,0,Z,0,R,230,R,58
160579,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,514,R,5,R,509,R,37,R,7,R,168,R,33,R,0,R,509,R,31,R,11,R,199,R,39
160597,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,3,R,0,R,3,R,2,R,67,R,2,R,67,Z,0,R,3,Z,0,Z,0,R,2,R,67
160612,R,2657,R,8,R,2649,R,320,R,12,R,902,R,34,R,3,R,2646,R,104,R,63,R,1006,R,38,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
160621,R,1136,R,0,R,1136,R,132,R,12,R,313,R,28,R,0,R,1136,R,404,R,55,R,717,R,63,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
160630,R,183,R,0,R,183,Z,0,R,0,R,32,R,17,Z,0,R,183,Z,0,Z,0,R,32,R,17,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
160649,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,329,R,0,R,329,R,51,R,16,R,51,R,16,Z,0,R,329,Z,0,Z,0,R,51,R,16
160658,R,2802,R,3,R,2799,R,362,R,13,R,1229,R,44,R,0,R,2799,R,172,R,94,R,1401,R,50,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
160667,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,264,R,0,R,264,R,43,R,16,R,108,R,41,R,0,R,264,R,5,R,4,R,113,R,43
160755,R,882,R,1,R,881,R,542,R,62,R,663,R,75,R,1,R,880,R,7,R,3,R,670,R,76,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
160904,R,298,R,0,R,298,R,88,R,30,R,140,R,47,R,0,R,298,R,9,R,3,R,149,R,50,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
160913,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,208,R,0,R,208,R,105,R,50,R,112,R,54,R,5,R,203,R,8,R,5,R,120,R,59
160959,R,73,R,0,R,73,R,39,R,53,R,47,R,64,Z,0,R,73,R,1,R,0,R,48,R,66,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
160977,R,492,R,1,R,491,R,417,R,85,R,434,R,88,R,0,R,491,R,3,R,0,R,437,R,89,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
160995,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,166,R,0,R,166,R,15,R,9,R,61,R,37,R,0,R,166,R,5,R,1,R,66,R,40
161004,R,474,R,0,R,474,R,430,R,91,R,452,R,95,Z,0,R,474,Z,0,Z,0,R,452,R,95,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
161022,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,1,R,0,R,1,Z,0,R,0,Z,0,R,0,Z,0,R,1,Z,0,Z,0,Z,0,R,0
161077,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,545,R,1,R,544,R,44,R,8,R,128,R,24,Z,0,R,544,R,35,R,33,R,163,R,30
161086,R,475,R,0,R,475,R,407,R,86,R,429,R,90,R,0,R,475,R,1,R,0,R,430,R,91,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
161138,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,322,R,0,R,322,R,36,R,11,R,94,R,29,R,0,R,322,R,10,R,6,R,104,R,32
161165,R,379,R,0,R,379,R,87,R,23,R,157,R,41,R,0,R,379,R,6,R,2,R,163,R,43,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
161192,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,209,R,0,R,209,R,50,R,24,R,87,R,42,Z,0,R,209,R,13,R,19,R,100,R,48
161208,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,6,R,0,R,6,R,6,R,100,R,6,R,100,Z,0,R,6,Z,0,Z,0,R,6,R,100
161217,R,167,R,1,R,166,R,8,R,5,R,21,R,13,R,0,R,166,R,3,R,3,R,24,R,14,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
161226,R,511,R,0,R,511,R,209,R,41,R,295,R,58,R,0,R,511,R,7,R,3,R,302,R,59,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
161235,R,96,R,0,R,96,R,2,R,2,R,36,R,38,R,0,R,96,R,0,R,0,R,36,R,38,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
161244,R,99,R,0,R,99,R,10,R,10,R,29,R,29,R,0,R,99,R,5,R,1,R,34,R,34,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
161253,R,1807,R,0,R,1807,R,648,R,36,R,1071,R,59,Z,0,R,1807,R,48,R,10,R,1119,R,62,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
161299,R,232,R,0,R,232,R,140,R,60,R,171,R,74,R,0,R,232,R,8,R,2,R,179,R,77,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
161341,R,198,R,0,R,198,R,38,R,19,R,73,R,37,Z,0,R,198,Z,0,Z,0,R,73,R,37,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
161457,R,429,R,0,R,429,R,224,R,52,R,248,R,58,R,0,R,429,R,1,R,0,R,249,R,58,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
161484,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,162,R,0,R,162,R,39,R,24,R,49,R,30,R,0,R,162,R,8,R,5,R,57,R,35
161493,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,175,R,0,R,175,R,1,R,1,R,97,R,55,R,0,R,175,R,0,R,0,R,97,R,55
161509,R,69,R,1,R,68,R,12,R,18,R,18,R,26,R,0,R,68,R,1,R,0,R,19,R,28,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
161518,R,364,R,0,R,364,R,165,R,45,R,187,R,51,R,0,R,364,R,1,R,0,R,188,R,52,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
161527,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,23,R,0,R,23,R,12,R,52,R,19,R,83,Z,0,R,23,Z,0,Z,0,R,19,R,83
161545,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,1109,R,4,R,1105,R,32,R,3,R,143,R,13,R,0,R,1105,R,70,R,97,R,213,R,19
161554,R,888,R,0,R,888,R,84,R,9,R,270,R,30,R,0,R,888,R,50,R,27,R,320,R,36,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
161563,R,189,R,0,R,189,R,67,R,35,R,86,R,46,Z,0,R,189,Z,0,Z,0,R,86,R,46,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
161572,R,157,R,0,R,157,R,57,R,36,R,60,R,38,Z,0,R,157,Z,0,Z,0,R,60,R,38,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
161581,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,148,R,0,R,148,R,36,R,24,R,52,R,35,R,0,R,148,R,5,R,2,R,57,R,39
161615,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,23,R,0,R,23,R,0,R,0,R,16,R,70,Z,0,R,23,Z,0,Z,0,R,16,R,70
161651,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,39,R,0,R,39,R,26,R,67,R,30,R,77,Z,0,R,39,Z,0,Z,0,R,30,R,77
161688,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,714,R,0,R,714,R,47,R,7,R,129,R,18,R,0,R,714,R,43,R,39,R,172,R,24
161767,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,2014,R,4,R,2010,R,119,R,6,R,314,R,16,R,0,R,2010,R,132,R,263,R,446,R,22
161776,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,304,R,4,R,300,Z,0,R,0,R,188,R,63,R,0,R,300,R,0,R,0,R,188,R,63
161800,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,145,R,0,R,145,R,0,R,0,R,73,R,50,Z,0,R,145,Z,0,Z,0,R,73,R,50
161855,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,40,R,0,R,40,R,32,R,80,R,32,R,80,Z,0,R,40,Z,0,Z,0,R,32,R,80
161864,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,554,R,0,R,554,R,8,R,1,R,28,R,5,R,0,R,554,R,16,R,39,R,44,R,8
162007,R,765,R,0,R,765,R,83,R,11,R,265,R,35,R,0,R,765,R,44,R,14,R,309,R,40,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
162061,R,48,R,0,R,48,R,8,R,17,R,14,R,29,R,0,R,48,R,1,R,1,R,15,R,31,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
162104,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,258,R,0,R,258,Z,0,R,0,R,28,R,11,R,0,R,258,R,14,R,31,R,42,R,16
162122,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,860,R,0,R,860,R,32,R,4,R,121,R,14,R,0,R,860,R,56,R,103,R,177,R,21
162168,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,431,R,0,R,431,R,14,R,3,R,54,R,13,R,0,R,431,R,19,R,40,R,73,R,17
162210,R,140,R,1,R,139,R,18,R,13,R,43,R,31,R,0,R,139,R,3,R,1,R,46,R,33,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
162283,R,494,R,0,R,494,R,28,R,6,R,84,R,17,R,0,R,494,R,21,R,15,R,105,R,21,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
162335,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,30,R,0,R,30,R,2,R,7,R,27,R,90,Z,0,R,30,Z,0,Z,0,R,27,R,90
162371,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,627,R,2,R,625,R,418,R,67,R,432,R,69,Z,0,R,625,Z,0,Z,0,R,432,R,69
162557,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,907,R,0,R,907,R,79,R,9,R,193,R,21,R,0,R,907,R,73,R,85,R,266,R,29
162584,R,1011,R,0,R,1011,R,175,R,17,R,445,R,44,R,0,R,1011,R,31,R,5,R,476,R,47,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
162609,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,252,R,0,R,252,R,34,R,13,R,65,R,26,R,0,R,252,R,9,R,9,R,74,R,29
162654,R,450,R,0,R,450,R,255,R,57,R,299,R,66,Z,0,R,450,R,2,Z,0,R,301,R,67,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
162690,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,514,R,0,R,514,R,59,R,11,R,112,R,22,R,0,R,514,R,26,R,36,R,138,R,27
162706,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,1080,R,5,R,1075,R,75,R,7,R,201,R,19,R,0,R,1075,R,60,R,126,R,261,R,24
162760,R,278,R,0,R,278,R,137,R,49,R,167,R,60,R,0,R,278,R,1,R,0,R,168,R,60,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
162779,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,1153,R,0,R,1153,R,57,R,5,R,173,R,15,R,0,R,1153,R,78,R,131,R,251,R,22
162830,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,48,R,0,R,48,R,7,R,15,R,17,R,35,Z,0,R,48,Z,0,Z,0,R,17,R,35
162928,R,1304,R,0,R,1304,R,1127,R,86,R,1201,R,92,Z,0,R,1304,R,9,R,1,R,1210,R,93,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
162982,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,16,R,0,R,16,R,7,R,44,R,12,R,75,Z,0,R,16,Z,0,Z,0,R,12,R,75
163028,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,880,R,0,R,880,R,231,R,26,R,532,R,60,R,0,R,880,R,9,R,0,R,541,R,61
163046,R,946,R,0,R,946,R,749,R,79,R,796,R,84,R,0,R,946,R,5,R,0,R,801,R,85,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
163107,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,14,R,0,R,14,R,12,R,86,R,12,R,86,Z,0,R,14,Z,0,Z,0,R,12,R,86
163204,R,186,R,0,R,186,R,4,R,2,R,8,R,4,R,0,R,186,R,3,R,4,R,11,R,6,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
163268,R,1419,R,0,R,1419,R,523,R,37,R,859,R,61,R,0,R,1419,R,70,R,12,R,929,R,65,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
163286,R,3945,R,1,R,3944,R,2493,R,63,R,3235,R,82,R,1,R,3943,R,53,R,11,R,3288,R,83,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
163295,R,432,R,0,R,432,R,274,R,63,R,306,R,71,R,0,R,432,R,3,R,0,R,309,R,72,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
163338,R,1127,R,0,R,1127,R,153,R,14,R,355,R,31,R,0,R,1127,R,34,R,8,R,389,R,35,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
163347,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,963,R,0,R,963,R,67,R,7,R,542,R,56,Z,0,R,963,Z,0,Z,0,R,542,R,56
163408,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,58,R,0,R,58,R,0,R,0,R,29,R,50,Z,0,R,58,Z,0,Z,0,R,29,R,50
163426,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,2244,R,0,R,2244,R,132,R,6,R,367,R,16,R,0,R,2244,R,147,R,332,R,514,R,23
163453,R,1368,R,0,R,1368,R,165,R,12,R,391,R,29,R,0,R,1368,R,52,R,27,R,443,R,32,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
163462,R,426,R,0,R,426,R,265,R,62,R,284,R,67,R,0,R,426,R,0,R,0,R,284,R,67,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
163532,R,58,R,0,R,58,R,14,R,24,R,25,R,43,R,0,R,58,R,1,R,0,R,26,R,45,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
163541,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,275,R,0,R,275,R,0,R,0,R,138,R,50,Z,0,R,275,Z,0,Z,0,R,138,R,50
163578,R,124,R,0,R,124,R,56,R,45,R,60,R,48,R,0,R,124,R,4,R,2,R,64,R,52,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
163657,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,1170,R,0,R,1170,R,20,R,2,R,74,R,6,R,0,R,1170,R,42,R,129,R,116,R,10
163736,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,398,R,3,R,395,Z,0,R,0,R,244,R,62,R,0,R,395,R,0,R,0,R,244,R,62
163754,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,20,R,0,R,20,R,0,R,0,R,16,R,80,Z,0,R,20,Z,0,Z,0,R,16,R,80
163815,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,22,R,0,R,22,R,18,R,82,R,18,R,82,Z,0,R,22,Z,0,Z,0,R,18,R,82
163851,R,1028,R,0,R,1028,R,502,R,49,R,693,R,67,R,0,R,1028,R,21,R,4,R,714,R,69,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
163912,R,428,R,0,R,428,R,309,R,72,R,345,R,81,Z,0,R,428,Z,0,Z,0,R,345,R,81,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
163921,R,51,R,0,R,51,Z,0,R,0,R,11,R,22,Z,0,R,51,R,2,Z,0,R,13,R,25,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
163976,R,148,R,0,R,148,R,90,R,61,R,99,R,67,Z,0,R,148,Z,0,Z,0,R,99,R,67,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
164058,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,298,R,3,R,295,Z,0,R,0,R,183,R,62,R,0,R,295,R,0,R,0,R,183,R,62
164076,R,2689,R,0,R,2689,R,1049,R,39,R,1770,R,66,R,2,R,2687,R,54,R,14,R,1824,R,68,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
164100,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,137,R,0,R,137,R,95,R,69,R,108,R,79,Z,0,R,137,Z,0,Z,0,R,108,R,79
164155,R,1190,R,0,R,1190,R,1019,R,86,R,1036,R,87,Z,0,R,1190,Z,0,Z,0,R,1036,R,87,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
164173,R,643,R,0,R,643,R,315,R,49,R,414,R,64,R,0,R,643,R,20,R,0,R,434,R,67,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
164216,R,312,R,0,R,312,R,202,R,65,R,215,R,69,Z,0,R,312,Z,0,Z,0,R,215,R,69,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
164270,R,476,R,0,R,476,R,324,R,68,R,349,R,73,Z,0,R,476,Z,0,Z,0,R,349,R,73,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
164313,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,437,R,0,R,437,R,25,R,6,R,69,R,16,R,0,R,437,R,28,R,33,R,97,R,22
164447,R,282,R,0,R,282,R,81,R,29,R,111,R,39,R,0,R,282,R,1,R,0,R,112,R,40,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
164465,R,430,R,0,R,430,R,368,R,86,R,407,R,95,R,0,R,430,R,3,R,1,R,410,R,95,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
164492,R,181,R,0,R,181,R,71,R,39,R,85,R,47,Z,0,R,181,R,2,R,1,R,87,R,48,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
164535,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,41,R,0,R,41,R,28,R,68,R,28,R,68,Z,0,R,41,Z,0,Z,0,R,28,R,68
164562,R,675,R,0,R,675,R,484,R,72,R,504,R,75,R,0,R,675,R,1,R,0,R,505,R,75,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
164580,R,443,R,0,R,443,R,376,R,85,R,399,R,90,R,0,R,443,R,2,R,0,R,401,R,91,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
164599,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,24,R,0,R,24,R,17,R,71,R,20,R,83,R,0,R,24,R,4,R,0,R,24,R,100
164614,R,12,R,0,R,12,R,2,R,17,R,3,R,25,Z,0,R,12,Z,0,Z,0,R,3,R,25,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
164632,R,150,R,0,R,150,R,67,R,45,R,75,R,50,R,0,R,150,R,1,R,0,R,76,R,51,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
164641,R,79,R,2,R,77,Z,0,R,0,R,21,R,27,Z,0,R,77,Z,0,Z,0,R,21,R,27,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
