UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200
115533,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,106,R,0,R,106,R,33,R,31,R,37,R,35,R,0,R,106,R,4,R,1,R,41,R,39
115658,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,27,R,0,R,27,R,7,R,26,R,19,R,70,Z,0,R,27,Z,0,Z,0,R,19,R,70
115728,R,66,R,0,R,66,R,19,R,29,R,26,R,39,R,0,R,66,R,2,R,20,R,28,R,42,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
115755,R,966,R,0,R,966,R,132,R,14,R,391,R,40,R,0,R,966,R,46,R,11,R,437,R,45,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
115773,R,36,R,1,R,35,R,16,R,46,R,18,R,51,Z,0,R,35,Z,0,Z,0,R,18,R,51,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
115861,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,973,R,0,R,973,R,30,R,3,R,168,R,17,R,0,R,973,R,104,R,0,R,272,R,28
115931,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,560,R,0,R,560,R,0,R,0,R,371,R,66,Z,0,R,560,Z,0,Z,0,R,371,R,66
116350,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,121,R,1,R,120,R,24,R,20,R,75,R,63,Z,0,R,120,Z,0,Z,0,R,75,R,63
116439,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,1065,R,0,R,1065,R,179,R,17,R,401,R,38,R,0,R,1065,R,85,R,117,R,486,R,46
116466,R,48,R,3,R,45,R,7,R,16,R,7,R,16,Z,0,R,45,Z,0,Z,0,R,7,R,16,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
116475,R,39,R,0,R,39,R,5,R,13,R,6,R,15,R,0,R,39,R,0,Z,0,R,6,R,15,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
116484,R,30,R,2,R,28,R,2,R,7,R,3,R,11,Z,0,R,28,Z,0,Z,0,R,3,R,11,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
116563,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,80,R,0,R,80,R,4,R,5,R,56,R,70,Z,0,R,80,Z,0,Z,0,R,56,R,70
116846,R,13,R,0,R,13,R,3,R,23,R,8,R,62,Z,0,R,13,Z,0,Z,0,R,8,R,62,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
117052,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,1841,R,0,R,1841,R,172,R,9,R,410,R,22,R,0,R,1841,R,130,R,224,R,540,R,29
117104,R,79,R,0,R,79,R,16,R,20,R,25,R,32,Z,0,R,79,Z,0,Z,0,R,25,R,32,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
117113,R,230,R,1,R,229,R,69,R,30,R,88,R,38,R,0,R,229,R,1,R,0,R,89,R,39,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
117140,R,314,R,2,R,312,R,126,R,40,R,184,R,59,R,0,R,312,R,10,R,1,R,194,R,62,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
117168,R,68,R,0,R,68,R,35,R,51,R,41,R,60,R,0,R,68,R,1,R,0,R,42,R,62,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
117195,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,133,R,0,R,133,R,28,R,21,R,44,R,33,R,0,R,133,R,5,R,16,R,49,R,37
117238,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,46,R,0,R,46,R,10,R,22,R,30,R,65,Z,0,R,46,Z,0,Z,0,R,30,R,65
117247,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,291,R,0,R,291,R,29,R,10,R,60,R,21,R,0,R,291,R,19,R,35,R,79,R,27
117274,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,179,R,0,R,179,R,18,R,10,R,29,R,16,R,0,R,179,R,4,R,10,R,33,R,18
117557,R,25,R,0,R,25,Z,0,R,0,R,21,R,84,Z,0,R,25,Z,0,Z,0,R,21,R,84,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
117575,R,1,R,0,R,1,Z,0,R,0,Z,0,R,0,Z,0,R,1,Z,0,Z,0,Z,0,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
117627,R,221,R,1,R,220,R,53,R,24,R,98,R,45,R,0,R,220,R,9,R,3,R,107,R,49,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
117645,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,1880,R,0,R,1880,R,93,R,5,R,338,R,18,R,0,R,1880,R,143,R,350,R,481,R,26
117690,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,622,R,0,R,622,R,47,R,8,R,120,R,19,R,0,R,622,R,64,R,118,R,184,R,30
117706,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,1119,R,0,R,1119,R,95,R,8,R,303,R,27,R,0,R,1119,R,117,R,214,R,420,R,38
117715,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,248,R,0,R,248,R,3,R,1,R,25,R,10,R,0,R,248,R,8,R,26,R,33,R,13
117724,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,629,R,0,R,629,R,50,R,8,R,118,R,19,R,0,R,629,R,46,R,94,R,164,R,26
