"UNITID","privateprofit_total_salary_wage","private_nonprofit_total_salary_wage","public_total_salary_wage"
"129181","4027611",NULL,NULL
"129349","1115101",NULL,NULL
"129482","3611952",NULL,NULL
"129923","5292819",NULL,NULL
"129932","3060115",NULL,NULL
"129969","1738595",NULL,NULL
"130110","989859",NULL,NULL
"130129","2031027",NULL,NULL
"130174","23304385",NULL,NULL
"130183","32721320",NULL,NULL
"130509","5937986",NULL,NULL
"130581","778258",NULL,NULL
"130873","3159055",NULL,NULL
"131061","473463",NULL,NULL
"131742","5192307",NULL,NULL
"131803","3879067",NULL,NULL
"132268","4189506",NULL,NULL
"132338","10675103",NULL,NULL
"132523","323282",NULL,NULL
"132666","976310",NULL,NULL
"132806","795080",NULL,NULL
"133465","6030383",NULL,NULL
"133845","4162000",NULL,NULL
"133854","4237000",NULL,NULL
"133863","3266000",NULL,NULL
"133942","366932",NULL,NULL
"133997","31970414",NULL,NULL
"134024","900092",NULL,NULL
"134112","19917452",NULL,NULL
"134121","1079039",NULL,NULL
"134149","7232093",NULL,NULL
"134228","114089",NULL,NULL
"134237","134024474",NULL,NULL
"134422","670390",NULL,NULL
"134529","1093936",NULL,NULL
"134574","735158",NULL,NULL
"134680","3715516",NULL,NULL
"134714","1220484",NULL,NULL
"134811","18151742",NULL,NULL
"134909","2500517",NULL,NULL
"135124","2739359",NULL,NULL
"135142","776080",NULL,NULL
"135337","1415635",NULL,NULL
"135416","2180307",NULL,NULL
"135559","174448",NULL,NULL
"135771","4414955",NULL,NULL
"135957","3359612",NULL,NULL
"136048","489516",NULL,NULL
"136066","2849370",NULL,NULL
"136109","883960",NULL,NULL
"136288","4012592",NULL,NULL
"136783","197546",NULL,NULL
"137148","3790854",NULL,NULL
"137537","1291144",NULL,NULL
"137591","1545549",NULL,NULL
"137801","4231988",NULL,NULL
"137810","2465314",NULL,NULL
"138132","384042",NULL,NULL
"138309","29187099",NULL,NULL
"138655","4807891",NULL,NULL
"138664","563628",NULL,NULL
"138813","15622066",NULL,NULL
"138822","5452151",NULL,NULL
"138929","6982897",NULL,NULL
"138938","1292144",NULL,NULL
"139074","6151732",NULL,NULL
"139092","279344",NULL,NULL
"139214","1036150",NULL,NULL
"139506","1157291",NULL,NULL
"139579","5669805",NULL,NULL
"140003","1431747",NULL,NULL
"140340","2316539",NULL,NULL
"140827","704620",NULL,NULL
"141015","2031336",NULL,NULL
"141468","8276178",NULL,NULL
"141608","602867",NULL,NULL
"141848","932551",NULL,NULL
"141945","479951",NULL,NULL
"142054","4492861",NULL,NULL
"142337","1906765",NULL,NULL
"142407","198641",NULL,NULL
"142416","109217",NULL,NULL
"142489","127377",NULL,NULL
"142869","199313",NULL,NULL
"142878","218011",NULL,NULL
"142887","3450750",NULL,NULL
"143376","1930273",NULL,NULL
"143464","985212",NULL,NULL
"143473","295558",NULL,NULL
"143482","337112",NULL,NULL
"143491","446016",NULL,NULL
"143516","351783",NULL,NULL
"143543","338393",NULL,NULL
"143552","526801",NULL,NULL
"143695","258335",NULL,NULL
"144467","4854449",NULL,NULL
"144485","4714390",NULL,NULL
"144573","374658",NULL,NULL
"144777","119897385",NULL,NULL
"144795","539338",NULL,NULL
"145099","1272346",NULL,NULL
"145239","2926555",NULL,NULL
"145309","380860",NULL,NULL
"145406","1229356",NULL,NULL
"145424","167482",NULL,NULL
"145433","171180",NULL,NULL
"145460","5043841",NULL,NULL
"145770","6021707",NULL,NULL
"146010","6079112",NULL,NULL
"146393","11496000",NULL,NULL
"146454","248550",NULL,NULL
"146700","4022516",NULL,NULL
"146807","157815",NULL,NULL
"147165","3855417",NULL,NULL
"147439","421505",NULL,NULL
"147642","127577",NULL,NULL
"147749","9426700",NULL,NULL
"147819","381521",NULL,NULL
"147970","3034397",NULL,NULL
"148098","194375",NULL,NULL
"148140","1118339",NULL,NULL
"148177","14073860",NULL,NULL
"148399","2449731",NULL,NULL
"149204","211085",NULL,NULL
"149310","1130479",NULL,NULL
"149499","240578",NULL,NULL
"149550","645763",NULL,NULL
"150075","51515",NULL,NULL
"150251","2009035",NULL,NULL
"150303","766354",NULL,NULL
"150428","226709",NULL,NULL
"150437","206257",NULL,NULL
"150695","815331",NULL,NULL
"150710","901931",NULL,NULL
"150765","424821",NULL,NULL
"150853","484232",NULL,NULL
"151166","19150963",NULL,NULL
"151458","2192798",NULL,NULL
"151467","2112123",NULL,NULL
"151485","13644967",NULL,NULL
"151494","2584371",NULL,NULL
"151500","1868143",NULL,NULL
"151519","17812424",NULL,NULL
"151564","44892",NULL,NULL
"151607","249236",NULL,NULL
"151616","2776052",NULL,NULL
"151625","1454427",NULL,NULL
"151652","553266",NULL,NULL
"151661","4150812",NULL,NULL
"151829","202915",NULL,NULL
"151874","38100",NULL,NULL
"151944","2646619",NULL,NULL
"152044","104549",NULL,NULL
"152150","175615",NULL,NULL
"152275","542339",NULL,NULL
"152309","891344",NULL,NULL
"152327","614292",NULL,NULL
"152415","2206690",NULL,NULL
"152628","180582",NULL,NULL
"153074","710351",NULL,NULL
"153083","855736",NULL,NULL
"153092","104672",NULL,NULL
"153171","151424",NULL,NULL
"153339","182471",NULL,NULL
"153409","924394",NULL,NULL
"153418","2396907",NULL,NULL
"153427","1903132",NULL,NULL
"153463","76521",NULL,NULL
"153588","195054",NULL,NULL
"153597","1408196",NULL,NULL
"153746","620986",NULL,NULL
"153764","352481",NULL,NULL
"153773","465571",NULL,NULL
"153782","494618",NULL,NULL
"154022","210518000",NULL,NULL
"154165","167546",NULL,NULL
"154208","1010577",NULL,NULL
"154332","143884",NULL,NULL
"154341","308643",NULL,NULL
"154448","766253",NULL,NULL
"154457","183422",NULL,NULL
"154466","294705",NULL,NULL
"154518","6312286",NULL,NULL
"154545","186614",NULL,NULL
"154767","2912455",NULL,NULL
"154776","2924624",NULL,NULL
"154794","858659",NULL,NULL
"154970","463115",NULL,NULL
"155159","292446",NULL,NULL
"155283","5774000",NULL,NULL
"155353","183276",NULL,NULL
"155441","215546",NULL,NULL
"155867","193625",NULL,NULL
"156134","6951078",NULL,NULL
"156277","203681",NULL,NULL
"156310","1869008",NULL,NULL
"156426","1041634",NULL,NULL
"156444","44823",NULL,NULL
"156471","23153845",NULL,NULL
"156754","177945",NULL,NULL
"156842","987973",NULL,NULL
"156903","890627",NULL,NULL
"156949","74400",NULL,NULL
"156967","378636",NULL,NULL
"157021","6907072",NULL,NULL
"157270","3185824",NULL,NULL
"157456","84114",NULL,NULL
"157465","1511766",NULL,NULL
"157508","157458",NULL,NULL
"157599","6146042",NULL,NULL
"157614","390633",NULL,NULL
"157650","568657",NULL,NULL
"157669","400400",NULL,NULL
"157678","477487",NULL,NULL
"157696","2404287",NULL,NULL
"157766","5175995",NULL,NULL
"157793","26458870",NULL,NULL
"157827","647106",NULL,NULL
"158158","251338",NULL,NULL
"158246","969984",NULL,NULL
"158343","65000",NULL,NULL
"158440","1064179",NULL,NULL
"158538","219914",NULL,NULL
"158617","3457350",NULL,NULL
"158644","305294",NULL,NULL
"158723","1232071",NULL,NULL
"158778","80821",NULL,NULL
"158787","191434",NULL,NULL
"159027","443309",NULL,NULL
"159197","3596436",NULL,NULL
"159319","80500",NULL,NULL
"159328","272500",NULL,NULL
"159513","1062818",NULL,NULL
"159522","747015",NULL,NULL
"159531","125667",NULL,NULL
"159601","98541",NULL,NULL
"160117","111877",NULL,NULL
"160126","92905",NULL,NULL
"160135","111167",NULL,NULL
"160199","170460",NULL,NULL
"160320","13296951",NULL,NULL
"160445","2609573",NULL,NULL
"160472","117905",NULL,NULL
"160597","289614",NULL,NULL
"160940","3440435",NULL,NULL
"160995","1515955",NULL,NULL
"161493","1171641",NULL,NULL
"161527","2305525",NULL,NULL
"161615","181214",NULL,NULL
"161651","173975",NULL,NULL
"161776","1795553",NULL,NULL
"161800","746236",NULL,NULL
"161855","574923",NULL,NULL
"162335","338391",NULL,NULL
"162371","1758651",NULL,NULL
"162681","3500064",NULL,NULL
"162830","294329",NULL,NULL
"162982","1981805",NULL,NULL
"163028","3280256",NULL,NULL
"163107","125267",NULL,NULL
"163347","3184895",NULL,NULL
"163408","597017",NULL,NULL
"163541","1104510",NULL,NULL
"163736","3189595",NULL,NULL
"163754","524393",NULL,NULL
"163815","588917",NULL,NULL
"164058","2147421",NULL,NULL
"164100","1126579",NULL,NULL
"164438","4628162",NULL,NULL
"164599","365000",NULL,NULL
"164641","8630334",NULL,NULL
"164678","742152",NULL,NULL
"164845","798046",NULL,NULL
"165255","1128000",NULL,NULL
"165556","1240905",NULL,NULL
"165635","1984234",NULL,NULL
"165750","337769",NULL,NULL
"166009","1592106",NULL,NULL
"166063","240408",NULL,NULL
"166294","165075",NULL,NULL
"166319","182572",NULL,NULL
"166328","190450",NULL,NULL
"166498","846608",NULL,NULL
"166586","185454",NULL,NULL
"166595","274167",NULL,NULL
"166805","418826",NULL,NULL
"166975","971173",NULL,NULL
"167020","1844975",NULL,NULL
"167039","66974",NULL,NULL
"167224","1322650",NULL,NULL
"167321","7306037",NULL,NULL
"167738","8905108",NULL,NULL
"168032","68681",NULL,NULL
"168555","78589",NULL,NULL
"168573","2053056",NULL,NULL
"168892","246970",NULL,NULL
"169071","35219",NULL,NULL
"169187","1678222",NULL,NULL
"169284","1193101",NULL,NULL
"169503","603493",NULL,NULL
"169576","664148",NULL,NULL
"169655","6336104",NULL,NULL
"169761","15362610",NULL,NULL
"169947","189322",NULL,NULL
"170046","3065928",NULL,NULL
"170417","2045751",NULL,NULL
"170514","103831",NULL,NULL
"170611","706925",NULL,NULL
"170736","246183",NULL,NULL
"171261","694882",NULL,NULL
"171313","2252063",NULL,NULL
"171322","4569834",NULL,NULL
"171465","333682",NULL,NULL
"171775","222357",NULL,NULL
"171988","631680",NULL,NULL
"171997","982143",NULL,NULL
"172015","1009561",NULL,NULL
"172325","4078507",NULL,NULL
"172495","2462215",NULL,NULL
"172680","205763",NULL,NULL
"172802","134427",NULL,NULL
"172866","334457",NULL,NULL
"173470","145782",NULL,NULL
"173489","1501682",NULL,NULL
"173629","20297428",NULL,NULL
"173726","117006",NULL,NULL
"173744","3226599",NULL,NULL
"173887","6955092",NULL,NULL
"173939","34260864",NULL,NULL
"173984","9282654",NULL,NULL
"174118","907344",NULL,NULL
"174154","2451273",NULL,NULL
"174190","1314646",NULL,NULL
"174279","23265488",NULL,NULL
"174321","401944",NULL,NULL
"174385","1331892",NULL,NULL
"174394","3173815",NULL,NULL
"174978","547889",NULL,NULL
"175014","27639886",NULL,NULL
"175494","347620",NULL,NULL
"175591","109287",NULL,NULL
"175607","162264",NULL,NULL
"175698","11720",NULL,NULL
"175722","119751",NULL,NULL
"176062","181379",NULL,NULL
"176390","681490",NULL,NULL
"176637","2562386",NULL,NULL
"176716","494303",NULL,NULL
"176992","61789",NULL,NULL
"177287","1390302",NULL,NULL
"177302","5302603",NULL,NULL
"177579","3224339",NULL,NULL
"177588","335669",NULL,NULL
"177603","416304",NULL,NULL
"177685","207490",NULL,NULL
"178004","1601117",NULL,NULL
"178077","496354",NULL,NULL
"178110","555171",NULL,NULL
"178183","792382",NULL,NULL
"178226","2412555",NULL,NULL
"178262","251591",NULL,NULL
"178305","4056186",NULL,NULL
"178314","234177",NULL,NULL
"178350","533934",NULL,NULL
"178484","913286",NULL,NULL
"178527","85103",NULL,NULL
"178767","921758",NULL,NULL
"178989","3403591",NULL,NULL
"179070","1468665",NULL,NULL
"179195","63343",NULL,NULL
"179201","3060759",NULL,NULL
"179229","146117",NULL,NULL
"179511","5118312",NULL,NULL
"179991","126738",NULL,NULL
"180063","271918",NULL,NULL
"180090","226099",NULL,NULL
"180391","159931",NULL,NULL
"180771","155460",NULL,NULL
"180957","749869",NULL,NULL
"181136","69000",NULL,NULL
"181190","1515197",NULL,NULL
"181242","2475935",NULL,NULL
"181400","3427995",NULL,NULL
"181756","2385797",NULL,NULL
"181880","875272",NULL,NULL
"181941","3105686",NULL,NULL
"182111","6015958",NULL,NULL
"182148","4504247",NULL,NULL
"182209","1731443",NULL,NULL
"182397","1196376",NULL,NULL
"182652","494897",NULL,NULL
"182661","6489867",NULL,NULL
"182704","1378638",NULL,NULL
"182722","1140873",NULL,NULL
"182865","13627539",NULL,NULL
"182892","445577",NULL,NULL
"182953","951902",NULL,NULL
"182999","305983",NULL,NULL
"183035","141000",NULL,NULL
"183202","206480",NULL,NULL
"183488","3170000",NULL,NULL
"183725","3088043",NULL,NULL
"183789","32975777",NULL,NULL
"184047","1031293",NULL,NULL
"184056","2686500",NULL,NULL
"184144","547416",NULL,NULL
"184278","979547",NULL,NULL
"184320","5239493",NULL,NULL
"184427","1304600",NULL,NULL
"184506","402992",NULL,NULL
"184746","2647546",NULL,NULL
"184816","449431",NULL,NULL
"184870","5183842",NULL,NULL
"184959","8300000",NULL,NULL
"185174","813904",NULL,NULL
"185332","2991670",NULL,NULL
"185396","4374171",NULL,NULL
"185466","1414318",NULL,NULL
"185624","1475006",NULL,NULL
"185721","2150000",NULL,NULL
"185730","286697",NULL,NULL
"185767","747439",NULL,NULL
"185916","1350005",NULL,NULL
"185970","960399",NULL,NULL
"186016","2604013",NULL,NULL
"186052","5012925",NULL,NULL
"186274","1056306",NULL,NULL
"186335","49068",NULL,NULL
"186593","525108",NULL,NULL
"187000","1518264",NULL,NULL
"187161","4118159",NULL,NULL
"187505","5724310",NULL,NULL
"187602","291356",NULL,NULL
"188146","7358752",NULL,NULL
"188289","274839",NULL,NULL
"188465","2871377",NULL,NULL
"188517","2748251",NULL,NULL
"188650","2157157",NULL,NULL
"188696","2392382",NULL,NULL
"188890","7992084",NULL,NULL
"188988","1260252",NULL,NULL
"189219","629473",NULL,NULL
"189228","36524226",NULL,NULL
"189404","579829",NULL,NULL
"189459","12383782",NULL,NULL
"189468","554706",NULL,NULL
"189477","651903",NULL,NULL
"189556","2062886",NULL,NULL
"189565","2400202",NULL,NULL
"189574","2756852",NULL,NULL
"189583","3039283",NULL,NULL
"189592","1635260",NULL,NULL
"189653","243728",NULL,NULL
"189714","1331068",NULL,NULL
"189811","3752430",NULL,NULL
"189954","204080",NULL,NULL
"189990","1335236",NULL,NULL
"190239","647928",NULL,NULL
"190293","295699",NULL,NULL
"190309","319512",NULL,NULL
"190318","986852",NULL,NULL
"190974","1809850",NULL,NULL
"191205","7716410",NULL,NULL
"191287","8284367",NULL,NULL
"191409","291418",NULL,NULL
"191728","5629652",NULL,NULL
"191834","3606432",NULL,NULL
"191959","1067831",NULL,NULL
"192004","1050032",NULL,NULL
"192156","2037331",NULL,NULL
"192271","14856742",NULL,NULL
"192484","240787",NULL,NULL
"192509","4777631",NULL,NULL
"192688","7809214",NULL,NULL
"192828","11648",NULL,NULL
"193186","129533",NULL,NULL
"193201","10299721",NULL,NULL
"193265","832347",NULL,NULL
"193308","53129019",NULL,NULL
"193672","424325",NULL,NULL
"193760","3578356",NULL,NULL
"193858","3047460",NULL,NULL
"193991","276466",NULL,NULL
"194435","304631",NULL,NULL
"194499","6562000",NULL,NULL
"194879","1035260",NULL,NULL
"194967","2804690",NULL,NULL
"195067","2374234",NULL,NULL
"195784","4754076",NULL,NULL
"195845","2983432",NULL,NULL
"196389","5692859",NULL,NULL
"196477","23289072",NULL,NULL
"196857","5385050",NULL,NULL
"197081","1258836",NULL,NULL
"197151","57833884",NULL,NULL
"197285","11306018",NULL,NULL
"197337","281442",NULL,NULL
"197522","2558389",NULL,NULL
"197832","6843577",NULL,NULL
"198075","1330254",NULL,NULL
"198190","263519",NULL,NULL
"198242","2432154",NULL,NULL
"198525","220063",NULL,NULL
"198844","756540",NULL,NULL
"198978","5838868",NULL,NULL
"199005","91650",NULL,NULL
"199014","40487",NULL,NULL
"199078","1751270",NULL,NULL
"199670","268859",NULL,NULL
"199689","910385",NULL,NULL
"199713","354067",NULL,NULL
"199980","232000",NULL,NULL
"200013","4808775",NULL,NULL
"200110","354553",NULL,NULL
"200129","167111",NULL,NULL
"200165","399677",NULL,NULL
"200262","27335",NULL,NULL
"200387","406258",NULL,NULL
"200590","1286478",NULL,NULL
"200624","354365",NULL,NULL
"200633","990428",NULL,NULL
"200785","2144904",NULL,NULL
"201016","8142039",NULL,NULL
"201399","2040284",NULL,NULL
"201469","3295977",NULL,NULL
"201584","66495",NULL,NULL
"201609","143437",NULL,NULL
"201618","464527",NULL,NULL
"201627","131669",NULL,NULL
"201982","258869",NULL,NULL
"202055","2063333",NULL,NULL
"202161","3704091",NULL,NULL
"202435","1360626",NULL,NULL
"202453","145829",NULL,NULL
"202639","281288",NULL,NULL
"202684","2320815",NULL,NULL
"202736","351370",NULL,NULL
"202888","210821",NULL,NULL
"203225","1247286",NULL,NULL
"203234","567288",NULL,NULL
"203289","783469",NULL,NULL
"203313","1722209",NULL,NULL
"203386","12186000",NULL,NULL
"203438","718367",NULL,NULL
"203720","1630259",NULL,NULL
"203739","1289042",NULL,NULL
"204060","935393",NULL,NULL
"204121","267000",NULL,NULL
"204307","2866415",NULL,NULL
"204316","2996619",NULL,NULL
"204334","546952",NULL,NULL
"204431","137921",NULL,NULL
"204608","7470547",NULL,NULL
"204626","2736268",NULL,NULL
"204714","410501",NULL,NULL
"204723","695571",NULL,NULL
"204769","256694",NULL,NULL
"204778","296117",NULL,NULL
"204884","1130870",NULL,NULL
"204963","393834",NULL,NULL
"205054","3366126",NULL,NULL
"205142","876231",NULL,NULL
"205179","13618896",NULL,NULL
"205391","461682",NULL,NULL
"205513","573432",NULL,NULL
"205568","2271057",NULL,NULL
"205610","4979111",NULL,NULL
"205647","3390017",NULL,NULL
"205887","3902635",NULL,NULL
"206039","267316",NULL,NULL
"206093","1590556",NULL,NULL
"206224","1330289",NULL,NULL
"206358","120000",NULL,NULL
"206394","1341842",NULL,NULL
"206482","638479",NULL,NULL
"206631","2521334",NULL,NULL
"206783","200578",NULL,NULL
"206880","548534",NULL,NULL
"206932","701444",NULL,NULL
"206969","24700",NULL,NULL
"207087","164544",NULL,NULL
"207102","163983",NULL,NULL
"207166","20870",NULL,NULL
"207254","10028000",NULL,NULL
"207272","54948",NULL,NULL
"207537","279656",NULL,NULL
"207625","1456324",NULL,NULL
"207704","327416",NULL,NULL
"207786","25765",NULL,NULL
"207962","5232823",NULL,NULL
"208017","130175",NULL,NULL
"208044","132704",NULL,NULL
"208080","197823",NULL,NULL
"208123","810803",NULL,NULL
"208187","837613",NULL,NULL
"208239","7885803",NULL,NULL
"208248","1096726",NULL,NULL
"208433","515183",NULL,NULL
"208479","4377000",NULL,NULL
"208512","2068888",NULL,NULL
"208637","1238124",NULL,NULL
"208655","717431",NULL,NULL
"208859","429380",NULL,NULL
"208965","3135443",NULL,NULL
"209153","759671",NULL,NULL
"209205","1085630",NULL,NULL
"209348","56088",NULL,NULL
"209667","594524",NULL,NULL
"209676","1156021",NULL,NULL
"209694","594525",NULL,NULL
"209700","871891",NULL,NULL
"209719","296161",NULL,NULL
"209986","163178",NULL,NULL
