"UNITID","ARANK","SAOUTLT","non_inst_acad_staff_salary_research_outlay","non_inst_acad_staff_salary_pubservice_outlay","non_inst_acad_staff_salary_other_outlay","admin_profstaff_salary_mgmt_outlay","admin_profstaff_salary_business_outlay","admin_profstaff_salary_compeng_outlay","admin_profstaff_salary_community_outlay","admin_profstaff_salary_technical_outlay","nonadmin_servicestaffsalary_outlay","nonadmin_servicestaffsalary_salaryoutlay","admin_profstaff_salary_ofcadmin_outlay","nonadmin_servicestaffsalary_construction_outlay","nonadmin_servicestaffsalary_production_outlay","HRTOTLT","admin_profstaff_management","admin_profstaff_business","admin_profstaff_comp","admin_profstaff_comunityservice","admin_profstaff_healthcare","admin_profstaff_ofcadmin","non_instn_acad_staff_research","non_instn_acad_staff_pub_service","non_instn_acad_staff_library","instruction_staff","non_admin_service_staff_service","non_admin_service_staff_sales","non_admin_service_staff_resource","non_admin_service_staff_prod","instructors_per_thousand_student","admin_professional_staff","admin_professionalstaff_perthousandstudent","noninstruction_academicstaff","noninstruction_academicstaff_perthousandstudent","nonadmin_trade_servicestaff","nonadmin_tradeservicestaff_perthousandstudent","all_instructors_staff","instructor_salarypermillion","adminprofessionalstaff_salarypermillion","noninstruction_academicstaff_salarypermillion","nonadmin_tradeservicestaff_salarypermillion"
"211981","7","5611925","0","0","306621","3315772","1547311","976979","1730640","129075","2124490","346161","1623750","1771942","66293","464","27","27","16","34","2","41","0","0","5","87","57","7","32","2","35","147","58","5","2","98","39","337","246054","76857","13444","188922"
"212009","7","17748419","0","0","2104745","9149811","2297428","2663786","2830738","255550","4576832","0","3651813","1281024","429556","939","87","39","49","50","5","119","0","0","48","226","150","0","28","13","90","349","140","48","19","191","76","814","336866","74166","39948","119336"
"212018","7","2179560","0","214128","33816","1017696","286920","57816","186744","0","147264","0","473100","149906","0","70","9","4","1","3","0","11","0","3","1","17","4","0","3","0",,"28",,"4",,"7",,"56",,,,
"212045","7","518336","0","0","0","923442","78520","29120","0","0","240760","0","526266","0","0","68","12","2","1","0","0","14","0","0","0","12","8","0","0","0",,"29",,"0",,"8",,"49",,,,
"212054","7","115241411","0","0","17139311","52755765","22623824","19297782","4794880","2654878","12200723","0","13954063","1034882","1482525","6974","637","465","335","100","339","467","0","0","450","1537","295","0","26","32","51","2343","78","450","15","353","12","4683","259251","37367","38557","33110"
"212072","7","367000","0","0","115000","118000","140000","0","0","0","0","0","82000","0","0","27","2","3","0","0","0","3","0","0","4","11","0","0","0","0","57","8","41","4","21","0","0","23",,,,
"212090","7","220566","0","0","0","736173","43584","0","0","0","0","0","1042805","0","0","70","10","1","0","0","0","24","0","0","0","5","0","0","0","0","5","35","36","0","0","0","0","40",,,,
"212106","7","42145141","0","0","4473023","12224094","15744142","5835225","3173600","417401","11244123","0","7825708","224915","117736","2353","105","264","104","51","7","224","0","0","91","481","253","0","4","3","43","755","67","91","8","260","23","1587","338423","66196","35918","93041"
"212115","7","22308884","0","0","644190","3610220","5918548","612873","1072742","809913","3107398","0","2880259","1078693","0","835","32","107","12","23","11","83","0","0","13","268","95","0","29","0","34","268","34","13","2","124","16","673","427283","70681","12338","80176"
"212133","7","8760250","0","0","2531856","4457221","1046899","625254","1665747","132262","640770","71375","1550515","343159","0","829","56","24","12","43","3","45","0","0","60","147","21","2","9","0","30","183","37","60","12","32","7","422","295752","56816","85477","35628"
