"UNITID","ARANK","SAOUTLT","non_inst_acad_staff_salary_research_outlay","non_inst_acad_staff_salary_pubservice_outlay","non_inst_acad_staff_salary_other_outlay","admin_profstaff_salary_mgmt_outlay","admin_profstaff_salary_business_outlay","admin_profstaff_salary_compeng_outlay","admin_profstaff_salary_community_outlay","admin_profstaff_salary_technical_outlay","nonadmin_servicestaffsalary_outlay","nonadmin_servicestaffsalary_salaryoutlay","admin_profstaff_salary_ofcadmin_outlay","nonadmin_servicestaffsalary_construction_outlay","nonadmin_servicestaffsalary_production_outlay","HRTOTLT","admin_profstaff_management","admin_profstaff_business","admin_profstaff_comp","admin_profstaff_comunityservice","admin_profstaff_healthcare","admin_profstaff_ofcadmin","non_instn_acad_staff_research","non_instn_acad_staff_pub_service","non_instn_acad_staff_library","instruction_staff","non_admin_service_staff_service","non_admin_service_staff_sales","non_admin_service_staff_resource","non_admin_service_staff_prod","instructors_per_thousand_student","admin_professional_staff","admin_professionalstaff_perthousandstudent","noninstruction_academicstaff","noninstruction_academicstaff_perthousandstudent","nonadmin_trade_servicestaff","nonadmin_tradeservicestaff_perthousandstudent","all_instructors_staff","instructor_salarypermillion","adminprofessionalstaff_salarypermillion","noninstruction_academicstaff_salarypermillion","nonadmin_tradeservicestaff_salarypermillion"
"100654","7","15465774","0","0","753024","6286180","1732386","1714039","5491282","63882","1524608","117586","6181278","224088","359659",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,"0",,"0",,"0","0","296092",,"14417","42616"
"100663","7","90870219","0","0","2329920","30977167","31588841","29645267","11607822","3399807","14852193","0","21529317","12900020","3370500","9211","326","987","1285","300","387","1127","0","0","72","2210","608","0","281","84","104","4412","207","72","3","973","46","5457","87811","24093","2251","30075"
"100690","7","1234786","0","0","508176","726562","143201","260450","0","0","0","0","0","79736","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,"0",,"0",,"0","0","333037",,"137061","21506"
"100706","7","26063591","0","0","1035914","13074620","3615999","37333030","2752525","228504","2566373","0","7647266","1231834","21500","1531","104","73","468","58","3","190","0","0","25","298","84","0","28","1","35","896","104","25","3","113","13","1034","226004","68299","8983","33122"
"100724","7","19984186","92250","0","3031494","6958810","1663749","1469249","4273637","176634","3819746","214416","4160819","1347437","122424","1121","78","38","29","87","4","116","2","0","75","269","144","8","39","6","38","352","50","77","11","197","28","626","353367","76700","55235","97324"
"100751","7","116615555","0","0","7863753","54105689","22527142","24096354","27908464","9374227","22630321","638584","26175199","10452891","3755957","6426","514","402","429","476","191","796","0","0","179","1287","673","25","208","104","33","2808","72","179","5","1010","26","3997","291416","88841","19651","93655"
"100760","7","3000636","0","0","102840","1336880","38748","50354","0","0","266798","0","1790166","0","0","246","15","1","1","0","0","42","0","0","3","56","7","0","0","0","21","59","23","3","1","7","3","69","330688","197289","11334","29403"
"100812","7","6099591","0","0","1437905","2429408","484315","519671","473875","0","399359","0","1464978","449402","87300","363","25","9","8","9","0","37","0","0","23","84","12","0","9","2",,"88",,"23",,"23",,"134","357283","85814","84225","54830"
"100830","7","14191715","0","0","933250","9401571","1374640","2523940","910820","211540","778255","61390","3384581","0","44430",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,"0",,"0",,"0","0","353803",,"23266","22040"
"100858","7","112935570","1830575","13401056","4866055","44662514","13452464","36670758","33417344","6325721","8336524","577076","26852560","7859164","2450059","6077","384","236","680","510","135","783","23","231","101","1209","257","15","205","61","46","2728","103","355","13","538","20","3621","284833","83683","50688","48482"
"100937","7","5498842","0","0","1125003","3651034","431249","564570","2160463","156650","707758","53040","1516157","392226","29140","378","40","9","10","48","4","43","0","0","22","89","17","2","10","1","73","154","126","22","18","30","24","206","317821","96691","65023","68326"
"101028","7","1957223","0","0","76613","1123578","212847","87555","42450","0","140721","43450","885884","54284","0","231","15","3","2","1","0","24","0","0","2","37","4","1","2","0","14","45","17","2","1","7","3","54","301005","136245","11782","36672"
"101073","7","1220584","0","0","1100584","455000","350000","0","0","0","400000","425000","185000","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,"0",,"0",,"0","0","406743",,"366754","274920"
"101116","7","541982","0","0","64341","1406505","0","0","0","0","0","0","971608","51730","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,"0",,"0",,"0","0","133068",,"15797","12701"
"101143","7","3312082","0","0","1208074","113926","345495","148778","109541","0","423942","71252","1013506","0","0","249","1","6","3","2","0","27","0","0","18","58","12","2","0","0","18","39","12","18","6","14","4","71","322870","98800","117766","48273"
"101161","7","4552265","0","0","4443961","0","0","0","0","0","0","0","0","0","0","296","0","0","0","0","0","0","0","0","90","80","0","0","0","0","12","0","0","90","14","0","0","90","344095","0","335909","0"
"101189","7","7503656","0","0","1473953","2349514","296028","40000","2060504","0","289120","0","1152731","0","0","498","29","7","1","51","0","42","0","0","39","112","9","0","0","0","29","130","33","39","10","9","2","178","385773","59268","75778","14864"
"101240","7","8349843","0","0","1223704","3200157","582783","813083","956260","44105","860447","0","3001044","687847","0","713","36","11","19","20","1","75","0","0","25","155","30","0","16","0","19","162","20","25","3","46","6","233","314867","114834","46145","58385"
"101286","7","6460030","0","0","1582651","2023926","243211","422105","248906","0","420291","0","1474669","261430","106432","489","24","6","9","5","0","45","0","0","28","131","9","0","7","5","20","89","14","28","4","21","3","138","372912","85129","91360","45497"
