"UNITID","ARANK","SAOUTLT","non_inst_acad_staff_salary_research_outlay","non_inst_acad_staff_salary_pubservice_outlay","non_inst_acad_staff_salary_other_outlay","admin_profstaff_salary_mgmt_outlay","admin_profstaff_salary_business_outlay","admin_profstaff_salary_compeng_outlay","admin_profstaff_salary_community_outlay","admin_profstaff_salary_technical_outlay","nonadmin_servicestaffsalary_outlay","nonadmin_servicestaffsalary_salaryoutlay","admin_profstaff_salary_ofcadmin_outlay","nonadmin_servicestaffsalary_construction_outlay","nonadmin_servicestaffsalary_production_outlay","HRTOTLT","admin_profstaff_management","admin_profstaff_business","admin_profstaff_comp","admin_profstaff_comunityservice","admin_profstaff_healthcare","admin_profstaff_ofcadmin","non_instn_acad_staff_research","non_instn_acad_staff_pub_service","non_instn_acad_staff_library","instruction_staff","non_admin_service_staff_service","non_admin_service_staff_sales","non_admin_service_staff_resource","non_admin_service_staff_prod","instructors_per_thousand_student","admin_professional_staff","admin_professionalstaff_perthousandstudent","noninstruction_academicstaff","noninstruction_academicstaff_perthousandstudent","nonadmin_trade_servicestaff","nonadmin_tradeservicestaff_perthousandstudent","all_instructors_staff","instructor_salarypermillion","adminprofessionalstaff_salarypermillion","noninstruction_academicstaff_salarypermillion","nonadmin_tradeservicestaff_salarypermillion"
"101295","7","6950948","0","0","497931","2392889","303735","146958","341596","0","477329","0","2186059","540716","0","624","32","8","4","8","0","58","0","0","13","128","13","0","14","0","18","110","15","13","2","27","4","150","389337","122448","27890","57023"
"101301","7","2649248","0","0","721252","1422375","212507","321198","368116","0","436819","0","978264","0","50360","253","19","5","6","9","0","29","0","0","17","57","13","0","0","1","20","68","24","17","6","14","5","99","276422","102076","75255","50832"
"101365","7","546993","0","0","497342","234090","0","55972","0","0","25376","0","113796","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,"0",,"0",,"0","0","257845",,"234440","11962"
"101435","7","2129940","0","0","478394","2417408","674849","101200","1712221","35748","665933","0","398379","0","0","261","24","15","3","46","1","16","0","0","10","41","24","0","0","0","29","105","74","10","7","24","17","139","236444","48202","53106","73925"
"101453","7","234702","0","0","39960","564202","218686","28000","0","0","24960","0","227900","49000","0","35","9","6","1","0","0","7","0","0","1","6","1","0","1","0","54","23","207","1","9","2","18","26","185968","180591","31663","58603"
"101462","7","1557707","0","0","924050","713839","323154","98383","0","0","121974","0","437150","0","0","182","7","7","3","0","0","14","0","0","20","31","4","0","0","0","15","31","15","20","9","4","2","55","271150","76098","160850","21232"
"101471","7","2140825","0","0","2258720","906637","461071","132993","82639","0","59284","0","686950","0","70871","125","9","7","2","1","0","16","0","0","36","38","1","0","0","1","45","35","42","36","43","2","2","73","258865","83067","273121","15738"
"101480","7","20157641","0","0","1005441","7025111","593943","1992000","4556240","63500","2954242","116863","3914436","1300956","197828","1094","93","13","40","95","2","126","0","0","28","320","124","3","37","7","31","369","36","28","3","171","17","568","399422","78827","19923","90552"
"101499","7","1766698","0","0","311576","945976","136001","78654","0","0","264122","0","487684","0","0","146","11","3","2","0","0","13","0","0","6","35","7","0","0","0","22","29","18","6","4","7","4","42","333846","92159","58877","49910"
"101505","7","7845746","0","0","1627733","973077","1060482","302233","641612","0","1080077","75745","2933780","232969","0","784","9","16","5","12","0","66","0","0","32","145","29","1","5","0","11","108","8","32","2","35","3","175","332691","124406","69022","58890"
"101514","7","7858927","0","0","555418","2373920","106958","1133594","704743","0","632527","0","3557068","553400","0","904","25","2","21","17","0","82","0","0","12","143","16","0","12","0","9","147","9","12","1","28","2","187","306774","138853","21681","46293"
"101541","7","1485892","0","70579","621827","682122","34500","98159","31930","119063","321328","19500","209186","76238","0","123","8","1","3","1","3","8","0","2","16","26","15","1","3","0","68","24","63","18","47","19","50","61","349995","77321","163093","98238"
"101569","7","4106190","0","0","501754","2366023","310425","337630","458567","0","468516","290353","1985631","168391","38753","408","28","6","5","10","0","53","0","0","10","79","13","6","4","1","17","102","22","10","2","24","5","136","267444","129331","32680","62918"
"101587","7","6951407","40000","161105","369479","3750661","1597285","579351","2694099","0","1407016","0","1998550","1043838","174866",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,"0",,"0",,"0","0","444570",,"36491","167925"
"101602","7","2968189","0","0","60322","1095113","644028","207644","435299","0","192337","0","829260","29825","0","190","11","11","4","9","0","22","0","0","1","56","6","0","1","0","25","57","25","1","0","7","3","65","369571","103256","7511","27661"
"101648","7","1011713","0","0","630897","828791","262335","52723","336987","52668","669508","88640","439894","164552","92867","124","10","5","1","7","1","12","0","0","14","19","19","2","4","3","43","36","81","14","31","28","63","78","204998","99810","127835","205779"
"101675","7","3950434","0","0","172350","1821919","449818","162714","828919","88000","1016517","0","2389295","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,"0",,"0",,"0","0","326833",,"14259","84100"
"101693","7","3906758","0","0","141531","1849800","347113","246990","1121052","32000","203085","0","1004646","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,"0",,"0",,"0","0","370364",,"13417","19253"
"101709","7","9503906","0","0","651042","3987451","818885","0","3795732","274254","1488701","0","2026989","1155781","0","541","42","17","0","81","7","65","0","0","15","142","50","0","27","0","41","212","62","15","4","77","22","304","356674","86369","24433","99245"
"101736","7","3697484","0","0","719768","2176738","246559","279807","361944","0","642531","0","1527176","0","149376","449","28","5","5","8","0","38","0","0","19","78","19","0","0","2","14","84","15","19","3","21","4","124","254768","105230","49594","54565"
"101879","7","16548889","0","0","3006301","5138672","1255366","1070725","1770678","249606","2154812","0","2757122","916661","190432","758","51","29","21","38","6","87","0","0","64","250","78","0","24","6","31","232","28","64","8","108","13","404","375594","68244","68231","74032"
"101897","7","3218406","0","0","412671","740371","201804","180932","159052","0","266166","268989","1226460","190917","0","327","7","2","3","3","0","28","0","0","7","57","8","4","4","0","15","43","11","7","2","16","4","66","333495","127089","42761","75236"
"101912","7","5713515","118607","41889","274641","3151330","954175","770961","542709","174142","605235","0","1590431","410274","49528","389","69","26","19","13","4","52","4","1","7","108","27","0","16","2","52","183","89","12","6","45","22","240","350000","108102","26656","65242"
"101949","7","1918802","0","0","1850757","1108126","75654","38748","187240","0","215645","0","863855","0","0","183","12","1","1","4","0","23","0","0","42","37","6","0","0","0","20","41","22","42","22","6","3","89","247719","111527","238934","27840"
"101958","7","450000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,"0",,"0",,"0","0","553363",,,
"101994","7","1299029","0","0","669488","555690","189250","123808","48412","0","229462","0","348170","0","0","73","5","3","2","1","0","6","0","0","13","24","5","0","0","0","32","17","23","13","17","5","7","35","303563","81365","156449","53622"
"102030","7","4867085","0","0","862545","1710915","0","235771","426813","0","1035476","0","3461789","0","0","385","18","0","3","7","0","84","0","0","22","91","29","0","0","0","16","112","19","22","4","29","5","163","298216","212112","52850","63446"
"102049","7","24876274","0","0","1727738","10611762","2563618","2275150","5902823","476069","805163","121275","8623713","679485","103811","1153","109","48","40","115","12","215","0","0","37","307","26","5","19","4","58","539","102","37","7","54","10","630","401275","146792","27870","27579"
"102058","7","1434930","0","0","196000","0","0","0","0","180000","30000","0","0","32000","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,"0",,"0",,"0","0","945579",,"129159","40856"
"102067","7","5141834","0","0","366201","4311699","166606","905191","158825","0","96613","0","3301304","633616","0","551","59","4","14","3","0","79","0","0","8","93","3","0","19","0","12","159","20","8","1","22","3","189","259488","166608","18481","36852"
"102076","7","2362362","0","0","113400","1455461","88200","133069","107214","0","404185","0","856793","45896","0","246","18","2","3","3","0","24","0","0","2","38","12","0","1","0","12","50","16","2","1","13","4","65","331574","120260","15916","63172"
"102094","7","39886458","0","0","5596669","14524038","4901809","2706628","5261723","501224","4520534","258125","7253214","3304779","423987","3158","177","148","143","96","257","559","0","0","179","758","261","10","106","13","43","1380","78","179","10","390","22","1949","122870","23889","17241","26207"
"102234","7","4316734","0","0","322400","2632443","311004","408128","1506065","0","893343","0","799584","329998","0","340","36","7","10","42","0","30","0","0","8","79","36","0","10","0","48","125","76","8","5","46","28","179","324873","60183","24263","92067"
"102261","7","273213","0","0","268827","259960","42120","0","0","0","0","0","56580","56000","0","40","4","1","0","0","0","2","0","0","8","6","0","0","2","0","30","7","35","8","40","2","10","17","236428","48967","232633","48460"
"102270","7","2335392","0","0","343300","987176","347250","146945","862791","36750","599477","0","395035","0","0","205","15","8","3","23","1","13","0","0","9","54","27","0","0","0","48","63","56","9","8","27","24","99","290235","53667","42664","74501"
"102298","7","2038009","0","0","18000","2003455","95000","167000","453343","30000","218600","43000","591396","172780","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,"0",,"0",,"0","0","343595",,"3035","73234"
"102313","7","3173219","0","0","361992","1255030","439291","199664","30167","0","267689","0","824254","0","0","202","15","7","4","1","0","22","0","0","11","58","7","0","0","0","27","49","23","11","5","7","3","67","359013","93258","40955","30286"
"102368","7","36839027","0","0","3288480","13522044","2635899","3078396","8536728","210662","1488882","1986646","9027429","97302","51563","3260","179","67","65","187","5","319","0","0","67","551","38","50","3","2","21","822","31","67","3","93","4","982","359966","90273","32133","35415"
"102377","7","19225282","630941","98572","2750336","552488","1491509","1100835","2988531","122402","713526","0","1637690","709461","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,"0",,"0",,"0","0","440592",,"79749","32611"
"102395","7","467756","0","0","60000","1140187","190177","172340","188446","0","0","78852","343419","92177","34880",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,"0","176924",,"22694","77883"
"102429","7","6288098","0","0","451587","2126856","541071","252314","1458937","0","941010","0","1486415","0","0","695","30","15","5","39","0","41","0","0","11","114","30","0","0","0","22","130","25","11","2","30","6","171","333556","78852","23955","49916"
"102553","7","42467573","3975762","3612176","4899269","12507860","1311844","4735718","4563094","199134","1597177","531150","16997973","3350814","235767","2779","125","20","74","82","3","349","63","80","65","732","29","12","73","4","26","653","24","208","8","118","4","979","294353","119199","86552","39611"
"102580","7","96830","0","0","31750","0","92200","0","0","0","0","0","0","57500","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,"0","334532",,"109691","198653"
"102614","7","33496279","32621319","9470206","3273948","18743040","4536082","4793510","4101674","789410","1976663","95270","13660691","5780061","1472932","2912","186","67","66","71","10","259","540","153","52","540","38","2","103","27","36","659","44","745","50","170","11","1574","178708","77096","242032","49750"
"102632","7","6605017","147113","244842","535022","3450906","702248","1106052","813221","84053","988564","87527","2990610","720636","0","520","38","12","19","14","1","59","5","4","7","132","29","2","13","0","23","143","25","16","3","44","8","203","260615","121321","36576","70894"
"102669","7","2211451","0","38000","0","1086108","339992","462478","372092","0","36982","77520","810335","0","0","156","14","7","8","10","0","23","0","1","0","41","1","2","0","0","45","62","68","1","1","3","3","66","286880","105126","4930","14854"
"102711","7","2840490","0","0","0","247135","52070","188403","0","0","685165","0","606768","333952","0","82","2","1","3","0","0","13","0","0","0","40","15","0","5","0",,"19",,"0",,"20",,"39","484563","103510","0","173853"
"102845","7","2498186","0","0","630015","3074385","1510566","173097","930966","0","170040","1930038","1225057","0","0","472","42","37","4","23","0","36","0","0","18","52","5","36","0","0","14","142","38","18","5","41","11","201","161850","79375","40817","136058"
"103501","7","741284","0","0","116280","367864","103653","139275","0","0","0","0","796094","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,"0",,"0",,"0","0","278125",,"43627","0"
"103644","7","1239500","0","0","61272","617040","101490","51875","0","0","0","0","598644","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,"0",,"0",,"0","0","152809",,"7554","0"
"103778","7","3450817","0","0","386467","2393369","4796901","841277","721008","0","0","0","993345","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,"0","119026",,"13330","0"
"103787","7","209282","0","0","15000","139610","0","31000","0","0","54840","0","63575","29500","0","30","3","0","1","0","0","3","0","0","1","7","6","0","1","0","72","7","72","1","10","7","72","15","344961","104798","24725","139018"
"103893","7","565822","0","0","706374","447405","61443","0","0","0","29120","0","140783","0","0","53","7","1","0","0","0","4","0","0","16","12","1","0","0","0","11","12","11","16","14","1","1","29","185216","46086","231224","9532"
"103909","7","348406","0","0","826973","1201056","50738","26260","0","0","33733","0","136121","0","0","75","16","1","1","0","0","4","0","0","15","7","1","0","0","0","6","22","18","15","13","1","1","38","72110","28177","171159","6982"
"103927","7","182796","0","0","445920","646673","46000","0","0","0","0","0","37552","0","0","34","11","1","0","0","0","1","0","0","11","5","0","0","0","0","7","13","17","11","15","0","0","24","83852","17231","204552","0"
"103945","7","326305","0","0","506880","92160","0","0","0","0","0","0","46080","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,"0",,"0",,"0","0","600287",,"932481","0"
"104090","7","954095","0","0","369714","503000","255384","40000","0","0","223913","417194","533035","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,"0",,"0",,"0","0","69432",,"26905","46655"
"104151","7","187202098","11189434","0","14765282","102545558","41132446","64719075","27633759","3370843","7594707","771735","31035233","7422315","2300979","7902","981","802","1134","557","50","781","106","0","263","1912","194","19","171","60","36","4305","80","369","7","444","8","5118","245744","45170","34071","23747"
"104160","7","7372425","119113","393305","877759","3980897","713414","1113064","2048371","81754","1579364","0","2666777","476249","54163",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,"0","258075",,"48664","73854"
"104179","7","151296929","20195824","0","43112781","27719258","58291031","77092862","28170722","5749933","20989588","1045826","40154084","12606101","3988513","12742","197","1319","1393","395","830","1232","838","0","902","1822","703","37","328","122","41","5366","121","1740","39","1190","27","8296","192885","58526","80711","49249"
"104188","7","642000","0","0","77000","0","0","0","0","0","0","0","44000","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,"0",,"0",,"0","0","323574",,"38809","0"
"104346","7","5274764","0","0","1398274","3545911","489419","1683243","685181","235434","1693305","0","1936583","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,"0",,"0",,"0","0","211197",,"55986","67798"
"104364","7","327812","0","0","213057","956717","57870","0","0","0","0","0","604203","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,"0",,"0",,"0","0","87225",,"56690","0"
"104425","7","5109588","0","0","711864","4300975","709739","937092","1477880","141158","797142","0","2275195","804970","0","683","60","15","18","34","3","64","0","0","17","86","25","0","20","0","7","194","15","17","1","45","4","256","229477","108527","31971","71952"
"104577","7","6851316","0","0","1291126","1639099","1110536","879389","577490","53121","1425980","0","1718511","0","0","756","15","13","10","8","1","45","0","0","23","93","31","0","0","0","10","92","10","23","3","31","3","146","335023","86633","63135","69729"
"104586","7","7186947","0","0","2461408","3501229","1824214","78702","0","0","410423","0","647422","0","2610562",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,"0",,"0",,"0","0","318142",,"108958","133729"
"104665","7","250000","0","0","200000","0","0","0","0","0","0","0","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,"0","365965",,"292772","0"
"104708","7","22390691","0","0","1379309","2044622","769938","2288039","1731999","178920","1741247","0","6832817","739456","74091","1362","31","14","42","33","2","142","0","0","23","277","31","0","15","1",,"264",,"23",,"47",,"334","388376","121624","23925","44314"
"104717","7","19687985","0","0","23091991","36819905","11085641","10487303","64718093","1046446","6535469","319717","6356695","258522","96402",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,"0",,"0",,"0","0","86154",,"101050","31551"
"105145","7","8552954","0","0","1541700","2326685","500337","520381","1810478","164058","484486","0","3162294","281099","0","610","21","7","10","35","3","67","0","0","28","113","11","0","6","0","11","143","14","28","3","17","2","188","300285","116787","54127","26879"
"105154","7","27102869","0","0","2119743","3197263","777913","2056865","2962332","168553","1159379","0","6102421","1040013","0","1501","30","13","39","57","3","134","0","0","37","329","30","0","20","0",,"276",,"37",,"50",,"363","394591","91301","30861","32021"
"105163","7","184899","0","0","62637","364601","31200","42239","0","0","0","0","448596","0","0","64","6","1","1","0","0","12","0","0","2","3","0","0","0","0","3","20","21","2","2","0","0","22","110919","269114","37575","0"
"105172","7","250970","0","0","79513","590904","114307","38000","0","0","0","0","651206","0","0","65","9","2","1","0","0","15","0","0","2","4","0","0","0","0","4","27","30","2","2","0","0","29","105023","272513","33274","0"
"105206","7","3947004","0","0","980259","2343220","419454","761412","686161","0","617503","0","2476101","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,"0",,"0",,"0","0","233646",,"58027","36554"
"105297","7","3270246","0","0","1765101","1142723","418726","156727","0","0","1583266","0","1186927","0","0","259","16","10","9","0","0","42","0","0","52","71","59","0","0","0","34","77","37","52","25","59","28","188","304619","110564","164417","147479"
"105330","7","76982253","823127","0","13833599","13439285","23052616","21368857","10035890","1565415","6090545","0","9101781","3996017","1075414","3702","102","443","327","204","25","241","12","0","243","1043","188","0","92","27","34","1342","44","255","8","307","10","1904","354596","49140","67512","51414"
"105349","7","4563182","0","0","656642","2185917","742074","705752","627086","0","68723","0","637802","391240","38480","507","29","18","16","13","0","17","0","0","15","81","2","0","11","1","12","93","14","15","2","14","2","122","341846","47786","49192","37340"
"105367","7","433853","0","0","148964","234667","937351","68000","0","0","0","0","91998","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,"0",,,,
"105428","7","12250080","0","0","1632393","2153707","667942","1017181","2305662","63401","927291","0","4141721","544470","39399","1024","22","11","21","48","1","95","0","0","29","136","24","0","11","1","7","198","10","29","2","36","2","263","312226","107181","41606","38516"
"105525","7","22690809","0","90428","18951554","9080453","5182789","6653600","2566331","105704","5853271","0","3783464","0","796219","2283","78","104","123","44","2","99","0","6","382","350","135","0","0","21",,"450",,"388",,"156",,"994","233494","40024","195947","68425"
"105534","7","3224269","0","0","0","334880","0","0","0","0","0","0","1921920","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,"0","474527",,"0","0"
"105543","7","1755665","0","0","0","264417","0","0","0","0","0","0","700502","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,"0","404670",,"0","0"
"105589","7","2456116","0","0","700227","991963","229968","274270","71829","0","146680","0","313903","0","0","201","16","7","6","2","0","9","0","0","22","56","6","0","0","0","49","40","35","22","19","6","5","68","309901","39611","88351","18507"
"105659","7","809739","0","0","360090","487400","0","0","0","0","0","354120","0","29120","0","48","6","0","0","0","0","0","0","0","9","20","0","6","1","0","19","6","6","9","9","7","7","22","329488","2","146523","155943"
"105668","7","1727735","0","0","5523909","5931277","1046415","2302001","3858370","0","365399","0","7171168","368421","220951","1271","59","18","40","72","0","161","0","0","92","20","8","0","10","3",,"350",,"92",,"21",,"463","36640","152083","117146","20248"
"105747","7","13858148","0","0","1023217","2112643","528452","1404201","1187194","139231","953368","0","3461845","493145","0","743","20","8","24","23","2","78","0","0","16","165","25","0","9","0","11","155","10","16","1","34","2","205","400270","104013","29554","41780"
"105792","7","5011040","0","0","866997","1698445","475755","691139","973375","51873","462766","0","2134670","212639","57637","399","16","8","12","19","1","45","0","0","15","60","13","0","4","1","9","101","15","15","2","18","3","134","285864","124739","49460","41818"
"105899","7","774639","0","0","225680","1343938","191487","71515","704904","74000","136807","0","259222","37814","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,"0",,"0",,"0","0","142303",,"41458","32078"
"106041","7","3846233","0","0","0","1092949","2657171","48963","0","0","0","0","152422","151840","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,"0",,"0",,"0","0","272937",,"0","10775"
"106102","7","341012","0","0","234135","3051033","273785","1141578","1402796","0","0","646293","612401","0","0","333","28","4","15","27","0","14","0","0","4","7","0","8","0","0","3","88","32","4","1","8","3","100","30581","54925","20997","57958"
"106148","7","6673596","0","0","2378174","4434684","931159","1241148","1401497","242030","1262530","0","2485037","697586","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,"0",,"0",,"0","0","256497",,"91404","75336"
"106245","7","33320509","0","0","8309887","8171599","4618961","9117295","5856772","234532","3025050","0","4557455","1102253","431090","1722","72","100","169","118","3","157","0","0","181","445","132","0","34","14","29","619","41","181","12","180","12","980","360176","51804","89825","49274"
