non_inst_acad_staff_salary_research_outlay,non_inst_acad_staff_salary_research_outlay,employees,employee_2014
non_inst_acad_staff_salary_pubservice_outlay,non_inst_acad_staff_salary_pubservice_outlay,employees,employee_2014
non_inst_acad_staff_salary_other_outlay,non_inst_acad_staff_salary_other_outlay,employees,employee_2014
admin_profstaff_salary_mgmt_outlay,admin_profstaff_salary_mgmt_outlay,employees,employee_2014
admin_profstaff_salary_business_outlay,admin_profstaff_salary_business_outlay,employees,employee_2014
admin_profstaff_salary_compeng_outlay,admin_profstaff_salary_compeng_outlay,employees,employee_2014
admin_profstaff_salary_community_outlay,admin_profstaff_salary_community_outlay,employees,employee_2014
admin_profstaff_salary_technical_outlay,admin_profstaff_salary_technical_outlay,employees,employee_2014
nonadmin_servicestaffsalary_outlay,nonadmin_servicestaffsalary_outlay,employees,employee_2014
nonadmin_servicestaffsalary_salaryoutlay,nonadmin_servicestaffsalary_salaryoutlay,employees,employee_2014
admin_profstaff_salary_ofcadmin_outlay,admin_profstaff_salary_ofcadmin_outlay,employees,employee_2014
nonadmin_servicestaffsalary_construction_outlay,nonadmin_servicestaffsalary_construction_outlay,employees,employee_2014
nonadmin_servicestaffsalary_production_outlay,nonadmin_servicestaffsalary_production_outlay,employees,employee_2014
HRTOTLT,HRTOTLT,employees,employee_2014
admin_profstaff_management,admin_profstaff_management,employees,employee_2014
admin_profstaff_business,admin_profstaff_business,employees,employee_2014
admin_profstaff_comp,admin_profstaff_comp,employees,employee_2014
admin_profstaff_comunityservice,admin_profstaff_comunityservice,employees,employee_2014
admin_profstaff_healthcare,admin_profstaff_healthcare,employees,employee_2014
admin_profstaff_ofcadmin,admin_profstaff_ofcadmin,employees,employee_2014
non_instn_acad_staff_research,non_instn_acad_staff_research,employees,employee_2014
non_instn_acad_staff_pub_service,non_instn_acad_staff_pub_service,employees,employee_2014
non_instn_acad_staff_library,non_instn_acad_staff_library,employees,employee_2014
instruction_staff,instruction_staff,employees,employee_2014
non_admin_service_staff_service,non_admin_service_staff_service,employees,employee_2014
non_admin_service_staff_sales,non_admin_service_staff_sales,employees,employee_2014
non_admin_service_staff_resource,non_admin_service_staff_resource,employees,employee_2014
non_admin_service_staff_prod,non_admin_service_staff_prod,employees,employee_2014
instructors_per_thousand_student,instructors_per_thousand_student,employees,employee_2014
admin_professional_staff,admin_professional_staff,employees,employee_2014
admin_professionalstaff_perthousandstudent,admin_professionalstaff_perthousandstudent,employees,employee_2014
noninstruction_academicstaff,noninstruction_academicstaff,employees,employee_2014
noninstruction_academicstaff_perthousandstudent,noninstruction_academicstaff_perthousandstudent,employees,employee_2014
nonadmin_trade_servicestaff,nonadmin_trade_servicestaff,employees,employee_2014
nonadmin_tradeservicestaff_perthousandstudent,nonadmin_tradeservicestaff_perthousandstudent,employees,employee_2014
all_instructors_staff,all_instructors_staff,employees,employee_2014
instructor_salarypermillion,instructor_salarypermillion,employees,employee_2014
adminprofessionalstaff_salarypermillion,adminprofessionalstaff_salarypermillion,employees,employee_2014
noninstruction_academicstaff_salarypermillion,noninstruction_academicstaff_salarypermillion,employees,employee_2014
nonadmin_tradeservicestaff_salarypermillion,nonadmin_tradeservicestaff_salarypermillion,employees,employee_2014
school_id,UNITID,datatable,datatable.csv
year,year,datatable,datatable.csv
school_name,school_name,datatable,datatable.csv
instruction_staff,instruction_staff,datatable,datatable.csv
instructors_per_thousand_student,instructors_per_thousand_student,datatable,datatable.csv
admin_professional_staff,admin_professional_staff,datatable,datatable.csv
admin_professionalstaff_perthousandstudent,admin_professionalstaff_perthousandstudent,datatable,datatable.csv
noninstruction_academicstaff,noninstruction_academicstaff,datatable,datatable.csv
noninstruction_academicstaff_perthousandstudent,noninstruction_academicstaff_perthousandstudent,datatable,datatable.csv
nonadmin_trade_servicestaff,nonadmin_trade_servicestaff,datatable,datatable.csv
nonadmin_tradeservicestaff_perthousandstudent,nonadmin_tradeservicestaff_perthousandstudent,datatable,datatable.csv
all_instructors_staff,all_instructors_staff,datatable,datatable.csv
ug_student_perthousandstudent,ug_student_perthousandstudent,datatable,datatable.csv
instructor_salarypermillion,instructor_salarypermillion,datatable,datatable.csv
adminprofessionalstaff_salarypermillion,adminprofessionalstaff_salarypermillion,datatable,datatable.csv
noninstruction_academicstaff_salarypermillion,noninstruction_academicstaff_salarypermillion,datatable,datatable.csv
nonadmin_tradeservicestaff_salarypermillion,nonadmin_tradeservicestaff_salarypermillion,datatable,datatable.csv
ug_average_sch_studentperay,ug_average_sch_studentperay,datatable,datatable.csv
grad_average_sch_studentperay,grad_average_sch_studentperay,datatable,datatable.csv
ug_degrees_perthousand_ugstudent,ug_degrees_perthousand_ugstudent,datatable,datatable.csv
ug_certi_perthousand_ugstudent,ug_certi_perthousand_ugstudent,datatable,datatable.csv
graddegree_perhundredgradstudent,graddegree_perhundredgradstudent,datatable,datatable.csv
grad_certi_perhundred_gradstudent,grad_certi_perhundred_gradstudent,datatable,datatable.csv
bachelordegree_4yeargradrate,bachelordegree_4yeargradrate,datatable,datatable.csv
bachelordegree_6yeargradrate,bachelordegree_6yeargradrate,datatable,datatable.csv
associatedegree_certi3yeargradrate,associatedegree_certi3yeargradrate,datatable,datatable.csv
