UNITID,carnegie_basic,carnegie_ug_program,carnegie_grad_program,carnegie_ug_profile,carnegie_enroll_profile,carnegie_size_setting,carnegie_classification2000
127909,5,1,-1,1,1,4,40
127918,18,13,13,5,6,12,21
127945,30,-2,-2,-2,2,-2,56
127954,-3,-3,-3,-3,-3,-3,-3
128106,20,10,7,9,4,12,21
128151,-3,-3,-3,-3,-3,-3,-3
128179,10,1,-1,4,1,2,40
128188,10,1,-1,4,1,2,40
128258,2,1,-1,2,1,2,40
128300,-3,-3,-3,-3,-3,-3,-3
128328,21,9,-1,12,2,14,59
128337,-3,-3,-3,-3,-3,-3,-3
128391,21,9,-1,10,2,10,31
128425,24,-2,-2,-2,4,-2,51
128498,18,13,7,9,4,10,32
128540,-3,-3,-3,-3,-3,-3,-3
128577,4,1,-1,1,1,2,40
128586,13,0,-1,9,3,8,-3
128674,-3,-3,-3,-3,-3,-3,-3
128683,23,2,-1,5,2,6,40
128726,-3,-3,-3,-3,-3,-3,-3
128744,18,10,8,6,6,13,16
128771,18,10,4,11,4,12,21
128780,21,3,-1,5,2,6,31
128896,-3,-3,-3,-3,-3,-3,-3
128902,21,4,3,12,3,11,31
128957,-3,-3,-3,-3,-3,-3,-3
129002,-3,-3,-3,-3,-3,-3,-3
129020,15,8,14,12,5,17,15
129154,9,1,-1,1,1,2,-3
129181,-3,-3,-3,-3,-3,-3,-3
129215,20,7,9,11,3,14,21
129242,18,10,4,12,4,14,21
129349,-3,-3,-3,-3,-3,-3,-3
129367,6,1,-1,1,1,3,40
129428,18,-1,7,-1,7,18,55
129482,-3,-3,-3,-3,-3,-3,-3
129491,24,-2,-2,-2,7,-2,51
129525,18,13,13,10,4,14,16
129534,24,-2,-2,-2,6,-2,51
129543,2,1,-1,1,1,3,40
129613,10,1,-1,3,1,1,40
129686,30,-2,-2,-2,3,-2,56
129695,4,1,-1,2,1,3,40
129729,3,1,-1,2,1,3,40
129756,4,1,-1,2,1,2,40
129774,22,12,-1,9,2,8,40
129808,2,1,-1,1,1,3,40
129923,-3,-3,-3,-3,-3,-3,-3
129932,-3,-3,-3,-3,-3,-3,-3
129941,18,16,8,10,5,13,21
129969,-3,-3,-3,-3,-3,-3,-3
130004,3,1,-1,1,1,3,40
130040,4,1,-1,1,1,2,40
130110,30,-2,-2,-2,2,-2,56
130129,-3,-3,-3,-3,-3,-3,-3
130174,-3,-3,-3,-3,-3,-3,-3
130183,22,15,11,5,4,10,32
130217,2,1,-1,1,1,2,40
130226,18,13,8,10,4,14,21
130253,18,10,6,10,4,14,21
130314,18,10,6,11,5,10,21
130396,7,1,-1,1,1,3,40
130448,9,1,-1,1,1,1,40
130493,18,11,4,11,4,13,21
130509,-3,-3,-3,-3,-3,-3,-3
130581,26,-2,-2,-2,7,-2,40
130590,21,4,5,12,3,11,31
130606,4,1,-1,2,1,3,40
130624,22,12,-1,12,2,8,59
130697,21,4,17,12,3,14,31
130776,19,10,6,11,3,13,21
130785,-3,-3,-3,-3,-3,-3,-3
130794,15,5,14,12,6,17,15
130837,-3,-3,-3,-3,-3,-3,-3
130873,-3,-3,-3,-3,-3,-3,-3
130882,-3,-3,-3,-3,-3,-3,-3
130891,2,1,-1,2,1,3,40
130907,2,1,-1,2,1,3,40
130916,7,1,-1,2,1,3,40
130934,19,13,18,9,3,14,21
130943,15,11,15,12,4,16,15
130989,29,-2,-2,-2,5,-2,55
131061,-3,-3,-3,-3,-3,-3,-3
131098,22,13,7,9,3,11,32
131113,17,13,9,5,5,12,16
131159,17,8,15,12,5,17,15
131283,16,11,15,10,5,14,15
131308,30,-2,-2,-2,5,-2,56
131399,20,13,8,5,3,12,21
131405,24,-2,-2,-2,7,-2,51
131450,20,10,18,9,4,11,21
131469,15,8,14,12,5,17,15
131496,15,8,14,12,6,17,15
131520,16,14,14,10,5,14,15
131742,10,1,-1,4,1,2,-3
131803,18,13,7,5,5,15,22
131830,-3,-3,-3,-3,-3,-3,-3
131876,18,7,6,7,4,9,21
131973,24,-2,-2,-2,7,-2,51
132268,-3,-3,-3,-3,-3,-3,-3
132338,30,-2,-2,-2,2,-2,56
132374,-3,-3,-3,-3,-3,-3,-3
132408,24,-2,-2,-2,2,-2,51
132471,17,13,18,9,5,13,21
132523,26,-2,-2,-2,7,-2,-3
132602,22,12,2,9,3,14,32
132657,17,13,18,9,4,10,21
132666,-3,-3,-3,-3,-3,-3,-3
132675,-3,-3,-3,-3,-3,-3,-3
132693,3,1,-1,2,1,5,40
132709,7,1,-1,1,1,5,40
132806,10,1,-1,4,1,1,-3
132842,19,8,13,5,6,6,59
132851,3,1,-1,2,1,4,40
132879,24,-2,-2,-2,2,-2,51
132903,15,14,15,8,4,15,16
132976,-3,-3,-3,-3,-3,-3,-3
133021,12,2,-1,5,2,9,40
133085,21,9,-1,11,3,8,32
133155,-3,-3,-3,-3,-3,-3,-3
133386,12,2,-1,5,2,12,40
133465,22,16,11,6,3,6,-3
133492,21,6,-1,12,2,11,31
133508,12,2,-1,5,2,12,40
133526,22,12,-1,9,2,7,32
133553,19,16,8,11,3,13,21
133650,17,13,18,9,4,17,21
133669,16,14,18,6,4,15,16
133702,12,2,-1,5,2,15,40
133711,22,12,-1,11,2,10,32
133809,23,2,-1,10,2,8,40
133845,10,1,-1,4,1,2,-3
133854,-3,-3,-3,-3,-3,-3,-3
133863,-3,-3,-3,-3,-3,-3,-3
133872,26,-2,-2,-2,3,-2,40
133881,17,14,17,12,5,14,16
133942,-3,-3,-3,-3,-3,-3,-3
133951,16,14,15,8,4,15,15
133960,1,1,-1,1,1,2,40
133979,20,13,9,12,3,10,32
133997,14,2,-1,9,2,12,40
134024,-3,-3,-3,-3,-3,-3,-3
134079,22,13,11,10,3,11,32
134097,15,11,14,13,4,15,15
134112,10,1,-1,4,1,2,40
134121,10,1,-1,4,1,1,40
134130,15,11,14,12,5,16,15
134149,20,2,10,7,3,9,55
134228,-3,-3,-3,-3,-3,-3,-3
134237,18,16,10,9,4,12,40
134291,-3,-3,-3,-3,-3,-3,-3
134307,-3,-3,-3,-3,-3,-3,-3
134343,3,1,-1,1,1,3,40
134422,10,1,-1,4,1,1,40
134495,7,1,-1,2,1,5,40
134510,24,-2,-2,-2,2,-2,51
134529,-3,-3,-3,-3,-3,-3,-3
134574,-3,-3,-3,-3,-3,-3,-3
134608,12,2,-1,5,2,12,40
